ProductKey,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category
1,Contoso 512MB MP3 Player E51 Silver,Contoso,Silver,0.005793873969086757,0.0037636290887266177,101,MP4&MP3,1,Audio
2,Contoso 512MB MP3 Player E51 Blue,Contoso,Blue,0.005793873969086757,0.0037636290887266177,101,MP4&MP3,1,Audio
3,Contoso 1G MP3 Player E100 White,Contoso,White,0.006529903561250873,0.004241897569270781,101,MP4&MP3,1,Audio
4,Contoso 2G MP3 Player E200 Silver,Contoso,Silver,0.009926963217392946,0.006445683705111533,101,MP4&MP3,1,Audio
5,Contoso 2G MP3 Player E200 Red,Contoso,Red,0.009926963217392946,0.006445683705111533,101,MP4&MP3,1,Audio
6,Contoso 2G MP3 Player E200 Black,Contoso,Black,0.009926963217392946,0.006445683705111533,101,MP4&MP3,1,Audio
7,Contoso 2G MP3 Player E200 Blue,Contoso,Blue,0.009926963217392946,0.006445683705111533,101,MP4&MP3,1,Audio
8,Contoso 4G MP3 Player E400 Silver,Contoso,Silver,0.028403193236076773,0.0184555366609983,101,MP4&MP3,1,Audio
9,Contoso 4G MP3 Player E400 Black,Contoso,Black,0.028403193236076773,0.0184555366609983,101,MP4&MP3,1,Audio
10,Contoso 4G MP3 Player E400 Green,Contoso,Green,0.028403193236076773,0.0184555366609983,101,MP4&MP3,1,Audio
11,Contoso 4G MP3 Player E400 Orange,Contoso,Orange,0.028403193236076773,0.0184555366609983,101,MP4&MP3,1,Audio
12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Blue,0.03325343952290184,0.023985320596178854,101,MP4&MP3,1,Audio
13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,Black,0.03325343952290184,0.023985320596178854,101,MP4&MP3,1,Audio
14,Contoso 4GB Flash MP3 Player E401 Silver,Contoso,Silver,0.03325343952290184,0.023985320596178854,101,MP4&MP3,1,Audio
15,Contoso 4GB Flash MP3 Player E401 White,Contoso,White,0.03325343952290184,0.023985320596178854,101,MP4&MP3,1,Audio
16,Contoso 8GB Super-Slim MP3/Video Player M800 White,Contoso,White,0.04725687432766528,0.034072721816544964,101,MP4&MP3,1,Audio
17,Contoso 8GB Super-Slim MP3/Video Player M800 Red,Contoso,Red,0.04725687432766528,0.034072721816544964,101,MP4&MP3,1,Audio
18,Contoso 8GB Super-Slim MP3/Video Player M800 Green,Contoso,Green,0.04725687432766528,0.034072721816544964,101,MP4&MP3,1,Audio
19,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,Contoso,Pink,0.04725687432766528,0.034072721816544964,101,MP4&MP3,1,Audio
20,Contoso 8GB MP3 Player new model M820 Black,Contoso,Black,0.05769339649347953,0.04159060218065419,101,MP4&MP3,1,Audio
21,Contoso 8GB MP3 Player new model M820 Blue,Contoso,Blue,0.05769339649347953,0.04159060218065419,101,MP4&MP3,1,Audio
22,Contoso 8GB MP3 Player new model M820 Yellow,Contoso,Yellow,0.05769339649347953,0.04159060218065419,101,MP4&MP3,1,Audio
23,Contoso 8GB MP3 Player new model M820 White,Contoso,White,0.05769339649347953,0.04159060218065419,101,MP4&MP3,1,Audio
24,Contoso 16GB Mp5 Player M1600 Blue,Contoso,Blue,0.08629475154283128,0.06219053215964789,101,MP4&MP3,1,Audio
25,Contoso 16GB Mp5 Player M1600 Black,Contoso,Black,0.08629475154283128,0.06219053215964789,101,MP4&MP3,1,Audio
26,Contoso 16GB Mp5 Player M1600 Green,Contoso,Green,0.08629475154283128,0.06219053215964789,101,MP4&MP3,1,Audio
27,Contoso 16GB Mp5 Player M1600 White,Contoso,White,0.08629475154283128,0.06219053215964789,101,MP4&MP3,1,Audio
28,Contoso 16GB Mp5 Player M1600 Red,Contoso,Red,0.08629475154283128,0.06219053215964789,101,MP4&MP3,1,Audio
29,Contoso 32GB Video MP3 Player M3200 White,Contoso,White,0.07927416158680431,0.07941444933480044,101,MP4&MP3,1,Audio
30,Contoso 32GB Video MP3 Player M3200 Red,Contoso,Red,0.07927416158680431,0.07941444933480044,101,MP4&MP3,1,Audio
31,Contoso 32GB Video MP3 Player M3200 Orange,Contoso,Orange,0.07927416158680431,0.07941444933480044,101,MP4&MP3,1,Audio
32,Contoso 32GB Video MP3 Player M3200 Pink,Contoso,Pink,0.07927416158680431,0.07941444933480044,101,MP4&MP3,1,Audio
33,Contoso 32GB Video MP3 Player M3200 Black,Contoso,Black,0.07927416158680431,0.07941444933480044,101,MP4&MP3,1,Audio
34,Contoso 4GB Portable MP3 Player M450 Black,Contoso,Black,0.045709324928756116,0.0296964089226768,101,MP4&MP3,1,Audio
